image_path,prompt,geohash
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_50_8.982583999644252_7.368696567699978.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_50_9.023577074895439_7.60712359464411.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_51_9.023789703927621_7.4613163305573975.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_51_9.153631610992248_7.377498995858406.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_52_9.009703810172757_7.561031176538375.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_52_9.039740729585233_7.385920946801503.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_53_9.067945029407683_7.405322703601821.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_53_9.133158387363146_7.376975335256935.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_54_9.028952780821406_7.454891559671296.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_54_9.0719965182258_7.4535817305123775.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_55_9.029390635706699_7.5116436955439365.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_55_9.062864842157472_7.367165458551356.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_56_9.098114013324745_7.504769282416798.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_56_9.102514510660527_7.366885165654764.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_57_9.034214216869524_7.572408270272157.jpg,A street in Abuja,s1
C:\Users\mysoo\OneDrive\Documents\GitHub\CSE659proj\images\Abuja_57_9.04785400776606_7.485123058859938.jpg,A street in Abuja,s1
